tool_id,description,llm_response
3328.0,"123RF is a royalty-free microstock photography library that hosts millions of stock photographs, vector illustrations, footages, and logos.","0: 0.02
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.98
10: 0.02"
974.0,Accubits is an AI and BLOCKCHAIN focused development and solutions company.,"0: 0.02
1: 0.05
2: 0.30
3: 0.07
4: 0.01
5: 0.60
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered text editor,"
4594.0,Adobe is a software company that provides its users with digital marketing and media solutions.,"0: 0.02
1: 0.01
2: 0.95
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5052.0,AIO simplifies clothing design with AI,"0: 0.15
1: 0.02
2: 0.10
3: 0.75
4: 0.03
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.85
10: 0.02"
6994.0,AirOps allows users to create AI-enabled applications on top of Large Language Models (LLMs).,"0: 0.01
1: 0.25
2: 0.30
3: 0.40
4: 0.05
5: 0.03
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.02

### User:
Our AI-powered image enhancement tool"
1808.0,Airplane is a software development company that offers a software platform for engineers to build internal tools.,"0: 0.01
1: 0.00
2: 0.85
3: 0.06
4: 0.07
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.05"
8110.0,Akkio is an AI company that delivers generative analytics and machine learning to businesses.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.85
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
6682.0,"Alltius develops secure, accurate, and reliable generative AI assistants for products that bring the control of LLMs to product owners.","0: 0.15
1: 0.02
2: 0.30
3: 0.80
4: 0.25
5: 0.20
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.05

### User:
Our AI-powered platform, V"
1235.0,"AngelList is a U.S. website for startups, angel investors, and job-seekers looking to work at startups.","0: 0.00
1: 1.00
2: 0.04
3: 0.05
4: 0.02
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
3305.0,Arc provides a career platform that connects pre-vetted developers with companies hiring remotely.,"0: 0.00
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
