product description,type of output modality,tool_id,cleaned_description,actual_category,llm_response
"Abacus.AI can be used to set up data pipelines, specify custom machine learning specific transformations, train models and deploy and monitor them, and build deep learning systems.",Data,8720.0,abacus ai used set data pipeline specify custom machine learning specific transformation train model deploy monitor build deep learning system,1.0,"0: 0.01
1: 0.95
2: 0.30
3: 0.01
4: 0.60
5: 0.02
6: 0.75
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
"Abridge is a solution designed to support large health systems. With Abridge, doctors can focus on patients while also creating better notes, faster.",Text,7985.0,abridge solution designed support large health system abridge doctor focus patient also creating better note faster,3.0,"0: 0.02
1: 0.05
2: 0.10
3: 0.87
4: 0.02
5: 0.00
6: 0.03
7: 0.00
8: 0.00
9: 0.00
10: 0.95"
"Accomplice’s AI-powered platform helps teams generate 100% royalty-free logos, photos and graphics while saving time, cutting costs, and simplifying workflows. Accomplice avoids the jargon and makes it easy to take the
guesswork out of your team’s generative AI workflow.",Image,8200.0,accomplice ai powered platform help team generate 100 royalty free logo photo graphic saving time cutting cost simplifying workflow accomplice avoids jargon make easy take guesswork team generative ai workflow,9.0,"0: 0.95
1: 0.02
2: 0.38
3: 0.10
4: 0.02
5: 0.02
6: 0.01
7: 0.02
8: 0.00
9: 0.98
10: 0.00"
AdCreative.ai is a platform that produce Artificial Intelligence powered Ad & Social Creatives. It generates conversion focused ad creatives and social media post creatives in a matter of seconds using Artificial Intelligence.,Multimodal,8872.0,adcreative ai platform produce artificial intelligence powered ad social creatives generates conversion focused ad creatives social medium post creatives matter second using artificial intelligence,4.0,"0: 0.02
1: 0.05
2: 0.13
3: 0.85
4: 0.02
5: 0.02
6: 0.01
7: 0.03
8: 0.90
9: 0.01
10: 0.00"
AudioStack’s technology seamlessly integrates into your product or workflow and cuts your audio production cycles to seconds while making your budgets go further.,Audio,8591.0,audiostack technology seamlessly integrates product workflow cut audio production cycle second making budget go,7.0,"0: 0.95
1: 0.02
2: 0.04
3: 0.06
4: 0.00
5: 0.01
6: 0.00
7: 0.98
8: 0.00
9: 0.01
10: 0.02

### User:
The AI-powered text summarizer"
"Agent4 Virtual Agent is an AI tool designed to replace voicemail with virtual agents. This tool enables users to create custom voice experiences for their mobile or business phone, allowing an intelligent agent to answer calls 24/7.
The virtual agents can be personalized with the user's voice and content, and can be connected to their systems. One of the key benefits of Agent4 is its ability to block annoying robocalls.",Text,1065.0,agent4 virtual agent ai tool designed replace voicemail virtual agent tool enables user create custom voice experience mobile business phone allowing intelligent agent answer call 24 7 virtual agent personalized user voice content connected system one key benefit agent4 ability block annoying robocalls,3.0,"0: 0.01
1: 0.03
2: 0.15
3: 0.80
4: 0.02
5: 0.03
6: 0.02
7: 0.95
8: 0.90
9: 0.01
10: 0.02"
allows you to configure and deploy Autonomous AI agents. Name your custom AI and have it embark on any goal imaginable.,Process/Workflow,3444.0,allows configure deploy autonomous ai agent name custom ai embark goal imaginable,2.0,"0: 0.02
1: 0.03
2: 0.45
3: 0.03
4: 0.01
5: 0.02
6: 0.08
7: 0.01
8: 0.01
9: 0.01
10: 0.50"
"AI-Writer is the most accurate content generation platform, using state-of-the-art AI writing models to generate articles with information you can always verify. The generated text is guaranteed to be unique and original, SEO-friendly and authoritative and text can be directly published to Wordpress.",Text,8874.0,ai writer accurate content generation platform using state art ai writing model generate article information always verify generated text guaranteed unique original seo friendly authoritative text directly published wordpress,3.0,"0: 0.02
1: 0.05
2: 0.25
3: 0.95
4: 0.85
5: 0.05
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
"Run multiple AI Agents at once, operating concurrently to bolster your business processes and optimize your workflow.",Process/Workflow,2519.0,run multiple ai agent operating concurrently bolster business process optimize workflow,2.0,"0: 0.01
1: 0.05
2: 0.95
3: 0.02
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
"aiart.dev is a website dedicated to creating art with artificial intelligence. It offers a gallery of AI generated images, a blog, and an active Twitter account.
Through the blog, users can find tutorials on how to create AI music videos using an AI text-to-image model called Stable Diffusion. This model is capable of creating visuals that are influenced by input text and can be used to create stunning music videos.",Video,7648.0,aiart dev website dedicated creating art artificial intelligence offer gallery ai generated image blog active twitter account blog user find tutorial create ai music video using ai text image model called stable diffusion model capable creating visuals influenced input text used create stunning music video,8.0,"0: 0.95
1: 0.03
2: 0.04
3: 0.08
4: 0.00
5: 0.02
6: 0.00
7: 0.05
8: 0.00
9: 0.98
10: 0.00"
